"ecommerce","marca","producto","precio_antes","precio_actual","pulgadas"
"tottus","lg","led 43"" ultra hd ai smart tv - 43uk6200psa"," 1399.0"," 999","43"
"tottus","lg","led 65"" uhd smart ai + control magic remote"," 7999.0","2599","65"
"tottus","sony","led 55"" ultra hd 4k, smart, lcd - kd55x725f"," 3599.0","1799","55"
"tottus","jvc","led 43"" smart tv android 7.1 isdbt - lt-43kb395"," 1199.0"," 849","43"
"tottus","panasonic","led 55"" 4k ultra hd - tc-55gx500p"," 2199.0","1499","55"
"tottus","panasonic","led 32"" hd smart tv - tc 32fs500p","  999.0"," 699","32"
"tottus","lg","led 49"" ultra hd ai smart tv - 49uk6200psa"," 1699.0","1449","49"
"tottus","philips","led 58"" ultra hd con hdr - 58pud6513"," 2099.0","1699","58"
"tottus","philips","led 55"" ultra hd ambilight con hdr - 55pud6703"," 2199.0","1799","55"
"tottus","philips","led 50"" ultra hd con hdr - 50pud6513"," 1699.0","1299","50"
"tottus","philips","led 65"" ultra hd ambilight con hdr - 65pud6703"," 3299.0","2599","65"
"tottus","philips","oled 55"" ultra hd con hdr - 55oled873"," 5999.0","4499","55"
"tottus","aoc","led 65"" ultra hd smart tv digital - 65u6285"," 3599.0","1999","65"
"tottus","aoc","led 50"" ultra hd smart tv digital - le50u7970s"," 1899.0","1199","50"
"tottus","aoc","led 43"" full hd smart tv digital - le43s5970s"," 1299.0"," 999","43"
"tottus","jvc","led 50"" ultra hd 4k hdr smart, netflix y youtube - lt 50kb585"," 1799.0","1199","50"
"tottus","sony","led 48"" full hd smart - kdl-48w655d"," 2199.0","1499","48"
"tottus","sony","led 32"" fhd smart - kdl-32w605d"," 1299.0"," 799","32"
"tottus","lg","led 55"" ultra hd smart tv ai - 55um7400psa"," 4399.0","2299","55"
"tottus","lg","led 55"" ultra hd ai smart tv - 55uk6200psa"," 2199.0","1799","55"
"tottus","advance","led 32"" hd digital hdmi vga","  399.0"," 399","32"
"tottus","jvc","led 43"" full hd smart tv android + pack x2 cerveza en lata twelve 355 ml"," 1269.0","1269","43"
"tottus","lg","led 43"" full hd ai smart tv - 43lk5400psa"," 1199.0"," 899","43"
"tottus","panasonic","led 65"" 4k pro ultra hd hdr smart tv - tc 65fx800w"," 6999.0","5499","65"
"tottus","panasonic","led 55"" 4k pro ultra hd hdr smart tv - tc 55fx800w"," 4499.0","3299","55"
"tottus","panasonic","led 49"" 4k pro ultra hd hdr smart tv - tc 49fx800w"," 3499.0","1999","49"
"tottus","panasonic","oled 65"" ultra hd 4k pro hdr - tc 65fz1000w","12999.0","7999","65"
"tottus","panasonic","oled 55"" ultra hd 4k pro hdr - tc 55fz950w"," 7499.0","4999","55"
"tottus","lg","led 50"" uhd smart ai - 50uk6300psb"," 2099.0","1599","50"
"tottus","lg","led 43"" fhd smart web os 3.5 - 43lj5500"," 1999.0","1499","43"
"tottus","aoc","led 43"" full hd smart tv, hdmi3 digital - le43s5970"," 1299.0"," 899","43"
"tottus","recco","led 49"" ultra hd, smart tv - rled l49d1850smt"," 1399.0","1399","49"
"tottus","recco","led 49"" ultra hd smart tv - rled-l49d1202uhd"," 1799.0","1799","49"
"tottus","playstation","consola 1tb core + led 40"" full hd aoc"," 2798.0","2798","40"
"tottus","daewoo","led 32"" hd digital - l32t660bts","  649.0"," 499","32"
"tottus","imaco","led 19"" digital - led19hd","  369.9"," 299","19"
"tottus","jvc","led 55"" ultra hd smart tv con netflix - lt-55kb695"," 1999.0","1499","55"
"tottus","jvc","led 43"" full hd smart, netflix y youtube - lt 43kb385"," 1499.0"," 829","43"
"tottus","lg","led 43"" full hd smart tv ai - 43lm6300psb"," 1299.0","1299","43"
"tottus","lg","led 43"" ultra hd smart tv ai - 43um7300psa"," 2499.0","1399","43"
"tottus","imaco","led 24"" digital - led24isbt","  499.9"," 399","24"
"tottus","lg","led 65"" ultra hd smart tv ai - 65um7400psa"," 7999.0","2899","65"
"tottus","jvc","led 50"" ultra hd smart tv con netflix - lt-50kb695"," 1699.0","1299","50"
"tottus","daewoo","led 24"" hd digital","  399.0"," 329","24"
"tottus","lg","nanocell 49"" led ultra hd smart tv ai - 49sm8000psa"," 4399.0","1999","49"
"tottus","lg","led 49"" ultra hd smart tv ai - 49um7100psa"," 3399.0","1629","49"
"tottus","lg","nanocell 55"" led 4k ultra hd smart tv ai - 55sm8100psa"," 2899.0","2499","55"
"tottus","imaco","led 28"" digital - led28isbt","  599.9"," 499","28"
"tottus","imaco","led 55"" full hd - led55isdbt"," 1699.9","1399","55"
"tottus","panasonic","led 65"" 4k ultra hd - tc-65gx500p"," 3599.0","3299","65"
